cours,date,name,valeur_basse,valeur_hausse,valeur_ouverture,variation
1 103.499,2022-10-26 15:57:30,ATOS,9.348 ,10.030 ,9.504 ,+9.37%
2 431.290,2022-10-26 15:57:30,OVHCLOUD,12.100 ,13.040 ,12.100 ,+6.42%
1 917.959,2022-10-26 15:57:30,ERAMET,62.750 ,66.700 ,62.900 ,+5.79%
348.820,2022-10-26 15:57:30,MCPHY ENERGY,11.915 ,12.590 ,12.150 ,+4.96%
4 319.634,2022-10-26 15:57:30,GTT (GAZTRANSPORT ET TEC.),111.800 ,116.900 ,114.100 ,+4.48%
8 557.460,2022-10-26 15:57:30,IPSEN,96.950 ,102.100 ,97.650 ,+4.24%
2 534.233,2022-10-26 15:57:30,VALLOUREC,10.620 ,11.070 ,10.665 ,+4.19%
7 539.369,2022-10-26 15:57:30,ALSTOM,19.230 ,20.090 ,19.240 ,+4.10%
367.995,2022-10-26 15:57:30,ELIOR GROUP,2.066 ,2.172 ,2.066 ,+3.89%
2 631.241,2022-10-26 15:57:30,SCOR,14.070 ,14.895 ,14.100 ,+3.60%
938.991,2022-10-26 15:57:30,VALNEVA,6.456 ,6.788 ,6.568 ,+3.38%
622.600,2022-10-26 15:57:30,CGG,0.835 ,0.886 ,0.837 ,+3.29%
13 259.154,2022-10-26 15:57:30,SODEXO,87.940 ,90.840 ,88.520 ,+3.19%
26 729.728,2022-10-26 15:57:30,THALES,122.150 ,126.000 ,122.250 ,+3.00%
1 993.573,2022-10-26 15:57:30,TRIGANO,99.350 ,103.600 ,100.200 ,+2.89%
240.395,2022-10-26 15:57:30,SOLUTIONS 30,2.164 ,2.275 ,2.173 ,+2.79%
12 641.476,2022-10-26 15:57:30,WORLDLINE,43.300 ,44.920 ,43.670 ,+2.63%
3 436.713,2022-10-26 15:57:30,IMERYS,39.840 ,40.680 ,40.060 ,+2.48%
3 945.826,2022-10-26 15:57:30,SPIE,23.640 ,24.280 ,23.640 ,+2.45%
20 891.849,2022-10-26 15:57:30,LEGRAND,76.100 ,78.360 ,76.260 ,+2.43%
12 690.024,2022-10-26 15:57:30,DASSAULT AVIATION,148.100 ,152.800 ,149.300 ,+2.22%
8 662.500,2022-10-26 15:57:30,GETLINK (ex: EUROTUNNEL),15.320 ,15.815 ,15.400 ,+2.01%
54 931.086,2022-10-26 15:57:30,VINCI,91.080 ,92.270 ,91.620 ,+1.85%
2 499.379,2022-10-26 15:57:30,SES,6.348 ,6.534 ,6.368 ,+1.81%
